Fecha,fix
01/01/2020,18.8727
02/01/2020,18.8727
03/01/2020,18.8642
04/01/2020,18.8817
05/01/2020,18.8817
06/01/2020,18.8817
07/01/2020,18.8673
08/01/2020,18.8270
09/01/2020,18.8852
10/01/2020,18.7980
11/01/2020,18.8453
12/01/2020,18.8453
13/01/2020,18.8453
14/01/2020,18.7732
15/01/2020,18.8215
16/01/2020,18.8120
17/01/2020,18.8077
18/01/2020,18.7930
19/01/2020,18.7930
20/01/2020,18.7930
21/01/2020,18.7388
22/01/2020,18.6725
23/01/2020,18.7007
24/01/2020,18.6883
25/01/2020,18.8018
26/01/2020,18.8018
27/01/2020,18.8018
28/01/2020,18.8313
29/01/2020,18.9407
30/01/2020,18.8022
31/01/2020,18.7067
01/02/2020,18.7853
02/02/2020,18.7853
03/02/2020,18.7853
04/02/2020,18.7853
05/02/2020,18.9082
06/02/2020,18.6797
07/02/2020,18.6245
08/02/2020,18.6645
09/02/2020,18.6645
10/02/2020,18.6645
11/02/2020,18.7763
12/02/2020,18.7653
13/02/2020,18.6740
14/02/2020,18.6308
15/02/2020,18.6458
16/02/2020,18.6458
17/02/2020,18.6458
18/02/2020,18.5712
19/02/2020,18.5715
20/02/2020,18.5952
21/02/2020,18.5910
22/02/2020,18.7992
23/02/2020,18.7992
24/02/2020,18.7992
25/02/2020,18.9138
26/02/2020,19.1197
27/02/2020,19.0878
28/02/2020,19.1585
29/02/2020,19.3973
01/03/2020,19.3973
02/03/2020,19.3973
03/03/2020,19.7760
04/03/2020,19.6985
05/03/2020,19.2837
06/03/2020,19.5335
07/03/2020,19.8095
08/03/2020,19.8095
09/03/2020,19.8095
10/03/2020,20.1623
11/03/2020,21.1117
12/03/2020,21.0267
13/03/2020,21.2130
14/03/2020,22.1518
15/03/2020,22.1518
16/03/2020,22.1518
17/03/2020,22.1518
18/03/2020,21.9288
19/03/2020,23.0573
20/03/2020,23.9008
21/03/2020,24.0868
22/03/2020,24.0868
23/03/2020,24.0868
24/03/2020,24.1113
25/03/2020,25.0782
26/03/2020,25.1185
27/03/2020,24.2948
28/03/2020,23.0970
29/03/2020,23.0970
30/03/2020,23.0970
31/03/2020,23.5122
01/04/2020,24.2853
02/04/2020,23.4847
03/04/2020,24.4918
04/04/2020,24.1087
05/04/2020,24.1087
06/04/2020,24.1087
07/04/2020,24.6938
08/04/2020,24.6895
09/04/2020,24.0388
10/04/2020,24.0388
11/04/2020,24.0388
12/04/2020,24.0388
13/04/2020,24.0388
14/04/2020,24.0925
15/04/2020,23.7427
16/04/2020,23.5645
17/04/2020,24.1155
18/04/2020,24.2098
19/04/2020,24.2098
20/04/2020,24.2098
21/04/2020,23.9012
22/04/2020,24.0077
23/04/2020,24.4248
24/04/2020,24.5883
25/04/2020,24.6230
26/04/2020,24.6230
27/04/2020,24.6230
28/04/2020,24.8583
29/04/2020,24.8492
30/04/2020,24.3882
01/05/2020,24.0002
02/05/2020,24.0002
03/05/2020,24.0002
04/05/2020,24.0002
05/05/2020,23.9283
06/05/2020,24.3812
07/05/2020,23.8343
08/05/2020,24.2942
09/05/2020,24.0563
10/05/2020,24.0563
11/05/2020,24.0563
12/05/2020,23.6805
13/05/2020,23.8693
14/05/2020,24.0487
15/05/2020,24.2113
16/05/2020,24.2708
17/05/2020,24.2708
18/05/2020,24.2708
19/05/2020,23.9580
20/05/2020,23.6032
21/05/2020,23.6023
22/05/2020,23.2962
23/05/2020,22.9600
24/05/2020,22.9600
25/05/2020,22.9600
26/05/2020,22.7928
27/05/2020,22.5630
28/05/2020,22.2932
29/05/2020,22.3633
30/05/2020,22.2040
31/05/2020,22.2040
01/06/2020,22.2040
02/06/2020,22.1778
03/06/2020,22.0168
04/06/2020,21.6827
05/06/2020,21.6043
06/06/2020,21.8388
07/06/2020,21.8388
08/06/2020,21.8388
09/06/2020,21.5837
10/06/2020,21.6552
11/06/2020,21.7252
12/06/2020,21.9230
13/06/2020,22.4252
14/06/2020,22.4252
15/06/2020,22.4252
16/06/2020,22.3347
17/06/2020,22.5435
18/06/2020,22.2168
19/06/2020,22.2783
20/06/2020,22.6088
21/06/2020,22.6088
22/06/2020,22.6088
23/06/2020,22.6300
24/06/2020,22.4413
25/06/2020,22.4130
26/06/2020,22.6662
27/06/2020,22.7963
28/06/2020,22.7963
29/06/2020,22.7963
30/06/2020,22.9715
01/07/2020,23.1325
02/07/2020,23.0893
03/07/2020,22.8078
04/07/2020,22.5225
05/07/2020,22.5225
06/07/2020,22.5225
07/07/2020,22.4147
08/07/2020,22.2808
09/07/2020,22.6213
10/07/2020,22.8225
11/07/2020,22.6945
12/07/2020,22.6945
13/07/2020,22.6945
14/07/2020,22.5342
15/07/2020,22.4633
16/07/2020,22.6173
17/07/2020,22.3647
18/07/2020,22.3032
19/07/2020,22.3032
20/07/2020,22.3032
21/07/2020,22.4897
22/07/2020,22.6278
23/07/2020,22.3597
24/07/2020,22.2510
25/07/2020,22.3627
26/07/2020,22.3627
27/07/2020,22.3627
28/07/2020,22.3842
29/07/2020,22.0275
30/07/2020,21.9615
31/07/2020,21.9907
01/08/2020,22.1727
02/08/2020,22.1727
03/08/2020,22.1727
04/08/2020,22.2012
05/08/2020,22.6140
06/08/2020,22.7845
07/08/2020,22.4068
08/08/2020,22.3652
09/08/2020,22.3652
10/08/2020,22.3652
11/08/2020,22.4892
12/08/2020,22.4850
13/08/2020,22.3490
14/08/2020,22.3457
15/08/2020,22.2628
16/08/2020,22.2628
17/08/2020,22.2628
18/08/2020,22.0313
19/08/2020,22.0570
20/08/2020,22.1535
21/08/2020,22.0527
22/08/2020,22.1760
23/08/2020,22.1760
24/08/2020,22.1760
25/08/2020,22.0362
26/08/2020,21.9840
27/08/2020,21.9723
28/08/2020,21.9202
29/08/2020,22.1168
30/08/2020,22.1168
31/08/2020,22.1168
01/09/2020,21.8602
02/09/2020,21.8880
03/09/2020,21.7445
04/09/2020,21.8393
05/09/2020,21.6383
06/09/2020,21.6383
07/09/2020,21.6383
08/09/2020,21.6115
09/09/2020,21.5887
10/09/2020,21.7138
11/09/2020,21.5377
12/09/2020,21.2773
13/09/2020,21.2773
14/09/2020,21.2773
15/09/2020,21.3210
16/09/2020,21.0728
17/09/2020,21.0728
18/09/2020,21.0692
19/09/2020,20.9850
20/09/2020,20.9850
21/09/2020,20.9850
22/09/2020,20.9697
23/09/2020,21.5050
24/09/2020,21.5682
25/09/2020,22.0897
26/09/2020,22.3678
27/09/2020,22.3678
28/09/2020,22.3678
29/09/2020,22.4402
30/09/2020,22.4573
01/10/2020,22.3598
02/10/2020,22.1438
03/10/2020,21.9562
04/10/2020,21.9562
05/10/2020,21.9562
06/10/2020,21.7025
07/10/2020,21.3960
08/10/2020,21.4507
09/10/2020,21.4930
10/10/2020,21.4318
11/10/2020,21.4318
12/10/2020,21.4318
13/10/2020,21.1822
14/10/2020,21.2183
15/10/2020,21.3677
16/10/2020,21.2998
17/10/2020,21.3832
18/10/2020,21.3832
19/10/2020,21.3832
20/10/2020,21.1765
21/10/2020,21.1342
22/10/2020,21.0902
23/10/2020,21.0640
24/10/2020,21.0300
25/10/2020,21.0300
26/10/2020,21.0300
27/10/2020,20.9205
28/10/2020,20.9818
29/10/2020,20.8798
30/10/2020,21.1648
31/10/2020,21.3770
01/11/2020,21.3770
02/11/2020,21.3770
03/11/2020,21.3770
04/11/2020,21.2508
05/11/2020,21.1555
06/11/2020,21.0345
07/11/2020,20.7612
08/11/2020,20.7612
09/11/2020,20.7612
10/11/2020,20.6200
11/11/2020,20.3600
12/11/2020,20.4018
13/11/2020,20.5772
14/11/2020,20.5303
15/11/2020,20.5303
16/11/2020,20.5303
17/11/2020,20.5303
18/11/2020,20.4833
19/11/2020,20.3212
20/11/2020,20.2388
21/11/2020,20.1858
22/11/2020,20.1858
23/11/2020,20.1858
24/11/2020,20.1172
25/11/2020,20.1012
26/11/2020,20.0577
27/11/2020,20.0465
28/11/2020,20.0467
29/11/2020,20.0467
30/11/2020,20.0467
01/12/2020,20.0777
